id_reference,category,brand,model,year,chosen_color,folder,main_image,secondary_image,source_main,source_secondary,license_main,license_secondary,author_main,author_secondary,status,search_query_main,search_query_secondary,notes
1,Citadines,Renault,Clio,2004,gris metallise,001_renault_clio_2004_gris_metallise,,,,,,,,,a_rechercher,Renault Clio 2004 gris metallise front Wikimedia Commons,Renault Clio 2004 gris metallise rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
2,Citadines,Renault,Clio,2006,rouge,002_renault_clio_2006_rouge,,,,,,,,,a_rechercher,Renault Clio 2006 rouge front Wikimedia Commons,Renault Clio 2006 rouge rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
3,Citadines,Renault,Clio,2009,blanc,003_renault_clio_2009_blanc,,,,,,,,,a_rechercher,Renault Clio 2009 blanc front Wikimedia Commons,Renault Clio 2009 blanc rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
4,Citadines,Renault,Twingo,2005,bleu,004_renault_twingo_2005_bleu,,,,,,,,,a_rechercher,Renault Twingo 2005 bleu front Wikimedia Commons,Renault Twingo 2005 bleu rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
5,Citadines,Renault,Twingo,2008,noir,005_renault_twingo_2008_noir,,,,,,,,,a_rechercher,Renault Twingo 2008 noir front Wikimedia Commons,Renault Twingo 2008 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
6,Citadines,Peugeot,206,2004,gris metallise,006_peugeot_206_2004_gris_metallise,,,,,,,,,a_rechercher,Peugeot 206 2004 gris metallise front Wikimedia Commons,Peugeot 206 2004 gris metallise rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
7,Citadines,Peugeot,207,2007,rouge,007_peugeot_207_2007_rouge,,,,,,,,,a_rechercher,Peugeot 207 2007 rouge front Wikimedia Commons,Peugeot 207 2007 rouge rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
8,Citadines,Peugeot,207,2010,blanc,008_peugeot_207_2010_blanc,,,,,,,,,a_rechercher,Peugeot 207 2010 blanc front Wikimedia Commons,Peugeot 207 2010 blanc rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
9,Citadines,Peugeot,208,2013,bleu,009_peugeot_208_2013_bleu,,,,,,,,,a_rechercher,Peugeot 208 2013 bleu front Wikimedia Commons,Peugeot 208 2013 bleu rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
10,Citadines,Citroen,C2,2005,noir,010_citroen_c2_2005_noir,,,,,,,,,a_rechercher,Citroen C2 2005 noir front Wikimedia Commons,Citroen C2 2005 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
11,Citadines,Citroen,C3,2005,gris metallise,011_citroen_c3_2005_gris_metallise,,,,,,,,,a_rechercher,Citroen C3 2005 gris metallise front Wikimedia Commons,Citroen C3 2005 gris metallise rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
12,Citadines,Citroen,C3,2008,rouge,012_citroen_c3_2008_rouge,,,,,,,,,a_rechercher,Citroen C3 2008 rouge front Wikimedia Commons,Citroen C3 2008 rouge rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
13,Citadines,Ford,Fiesta,2005,blanc,013_ford_fiesta_2005_blanc,,,,,,,,,a_rechercher,Ford Fiesta 2005 blanc front Wikimedia Commons,Ford Fiesta 2005 blanc rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
14,Citadines,Ford,Fiesta,2008,bleu,014_ford_fiesta_2008_bleu,,,,,,,,,a_rechercher,Ford Fiesta 2008 bleu front Wikimedia Commons,Ford Fiesta 2008 bleu rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
15,Citadines,Ford,Fiesta,2011,noir,015_ford_fiesta_2011_noir,,,,,,,,,a_rechercher,Ford Fiesta 2011 noir front Wikimedia Commons,Ford Fiesta 2011 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
16,Citadines,Volkswagen,Polo,2006,gris metallise,016_volkswagen_polo_2006_gris_metallise,,,,,,,,,a_rechercher,Volkswagen Polo 2006 gris metallise front Wikimedia Commons,Volkswagen Polo 2006 gris metallise rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
17,Citadines,Volkswagen,Polo,2009,rouge,017_volkswagen_polo_2009_rouge,,,,,,,,,a_rechercher,Volkswagen Polo 2009 rouge front Wikimedia Commons,Volkswagen Polo 2009 rouge rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
18,Citadines,Toyota,Yaris,2005,blanc,018_toyota_yaris_2005_blanc,,,,,,,,,a_rechercher,Toyota Yaris 2005 blanc front Wikimedia Commons,Toyota Yaris 2005 blanc rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
19,Citadines,Toyota,Yaris,2008,bleu,019_toyota_yaris_2008_bleu,,,,,,,,,a_rechercher,Toyota Yaris 2008 bleu front Wikimedia Commons,Toyota Yaris 2008 bleu rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
20,Citadines,Fiat,Punto,2005,noir,020_fiat_punto_2005_noir,,,,,,,,,a_rechercher,Fiat Punto 2005 noir front Wikimedia Commons,Fiat Punto 2005 noir rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
21,Citadines,Fiat,500,2009,gris metallise,021_fiat_500_2009_gris_metallise,,,,,,,,,a_rechercher,Fiat 500 2009 gris metallise front Wikimedia Commons,Fiat 500 2009 gris metallise rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
22,Citadines,Opel,Corsa,2005,rouge,022_opel_corsa_2005_rouge,,,,,,,,,a_rechercher,Opel Corsa 2005 rouge front Wikimedia Commons,Opel Corsa 2005 rouge rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
23,Citadines,Opel,Corsa,2008,blanc,023_opel_corsa_2008_blanc,,,,,,,,,a_rechercher,Opel Corsa 2008 blanc front Wikimedia Commons,Opel Corsa 2008 blanc rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
24,Citadines,Dacia,Sandero,2009,bleu,024_dacia_sandero_2009_bleu,,,,,,,,,a_rechercher,Dacia Sandero 2009 bleu front Wikimedia Commons,Dacia Sandero 2009 bleu rear side Wikimedia Commons,"Meme vehicule/couleur/generation, sans personne. Une seule image fiable est acceptable."
